variable	relative_importance	scaled_importance	percentage
EA078_Norms_of_premarital_sexual_behavior_of_girls	7.0590672492981	1	0.157893325154661
EA066_Class_differentiation_primary	5.63788890838623	0.798673352906055	0.126105191402759
EA008_Domestic_organization	5.51929044723511	0.781872484326298	0.123452446397215
EA030_Settlement_patterns	4.41508340835571	0.625448554664884	0.0987541520092153
EA072_Political_succession_other	4.2488260269165	0.601896238818093	0.0950353985450726
EA034_Religion_high_gods	4.08219909667969	0.578291572032494	0.0913083792171266
EA031_Mean_size_of_local_communities	3.41529059410095	0.483816129452591	0.0763913374427275
EA072_Political_succession_matrilineal	2.79792094230652	0.396358448431657	0.0625823533760166
EA072_Political_succession_patrilineal	2.13793420791626	0.302863555823022	0.0478201338970612
EA072_Political_succession_absent	1.909255027771	0.270468457140827	0.0427051640474161
EA042_Subsistence_economy_dominant_activity_foraging	1.7958619594574	0.254404993752675	0.0401688503995607
EA113_Societal_rigidity_F	0.715142786502838	0.101308396881181	0.0159959196496578
EA113_Societal_rigidity_T	0.407518684864044	0.0577298204524918	0.00911515331182549
EA032_Jurisdictional_hierarchy_of_local_community	0.222940623760223	0.0315821645958099	0.00498661298361423
EA043_Descent_major_type_patrilineal	0.120534986257553	0.0170752001646589	0.00269606013167941
EA074_Inheritance_rule_for_real_property_land_absent	0.0976546481251717	0.013833930840492	0.00218428534036489
EA042_Subsistence_economy_dominant_activity_pastoralism	0.0649026930332184	0.00919423073064956	0.00145170766230143
EA043_Descent_major_type_other	0.0605133399367332	0.00857242717764876	0.00135352903172515
EA012_Marital_residence_with_kin_prevailing_pattern_husband	0	0	0
EA012_Marital_residence_with_kin_prevailing_pattern_other	0	0	0
EA012_Marital_residence_with_kin_prevailing_pattern_wife	0	0	0
EA015_Community_marriage_organization_agamous	0	0	0
EA015_Community_marriage_organization_endogamous	0	0	0
EA015_Community_marriage_organization_exogamous	0	0	0
EA042_Subsistence_economy_dominant_activity_ext_agr	0	0	0
EA042_Subsistence_economy_dominant_activity_int_agr	0	0	0
EA042_Subsistence_economy_dominant_activity_multiple	0	0	0
EA074_Inheritance_rule_for_real_property_land_matrilineal	0	0	0
EA074_Inheritance_rule_for_real_property_land_other	0	0	0
EA074_Inheritance_rule_for_real_property_land_patrilineal	0	0	0
EA023_Cousin_marriages_permitted	0	0	0
EA027_Kin_terms_for_cousins	0	0	0
EA033_Jurisdictional_hierarchy_beyond_local_community	0	0	0
EA068_Caste_differentiation_primary	0	0	0
EA070_Slavery_type	0	0	0
