variable	relative_importance	scaled_importance	percentage
EA030_Settlement_patterns	43.2012329101562	1	0.188347998068647
EA066_Class_differentiation_primary	26.7771873474121	0.619824610170258	0.116742724479247
EA078_Norms_of_premarital_sexual_behavior_of_girls	23.4361610412598	0.542488245416489	0.102176574999968
EA034_Religion_high_gods	21.3340835571289	0.493830433068808	0.0930119734538828
EA023_Cousin_marriages_permitted	16.8517761230469	0.390076277639872	0.0734700859875394
EA031_Mean_size_of_local_communities	15.4602003097534	0.357864793856817	0.0674031175021804
EA008_Domestic_organization	10.0171823501587	0.231872603520159	0.0436727406799869
EA070_Slavery_type	8.91159057617188	0.20628093172028	0.03885260052925
EA043_Descent_major_type_other	8.56500625610352	0.198258375493954	0.0373415681246282
EA033_Jurisdictional_hierarchy_beyond_local_community	8.51244640350342	0.197041746961398	0.0371124185761281
EA027_Kin_terms_for_cousins	7.14709806442261	0.165437363310582	0.031159796185303502
EA043_Descent_major_type_patrilineal	4.11834239959717	0.0953292793324188	0.0179550789195879
EA032_Jurisdictional_hierarchy_of_local_community	4.10651779174805	0.0950555693697028	0.0179035261960589
EA015_Community_marriage_organization_exogamous	3.73469972610474	0.0864489153323849	0.0162824801380606
EA042_Subsistence_economy_dominant_activity_pastoralism	3.37551927566528	0.0781347903353871	0.0147165313391836
EA074_Inheritance_rule_for_real_property_land_other	3.32763171195984	0.0770263135517491	0.0145077519560798
EA074_Inheritance_rule_for_real_property_land_patrilineal	3.06378531455994	0.0709189323585176	0.0133574389348926
EA042_Subsistence_economy_dominant_activity_foraging	2.57062911987305	0.0595036054924422	0.011207384972368
EA072_Political_succession_patrilineal	2.5633647441864	0.0593354534468338	0.0111757138712065
EA042_Subsistence_economy_dominant_activity_int_agr	2.48354077339172	0.0574877290783954	0.0108276986854285
EA012_Marital_residence_with_kin_prevailing_pattern_husband	2.00883150100708	0.0464994021162489	0.00875806929998446
EA015_Community_marriage_organization_agamous	1.5339572429657	0.0355072561506706	0.00668772061288944
EA074_Inheritance_rule_for_real_property_land_absent	1.37218928337097	0.0317627343234545	0.00598244742300894
EA042_Subsistence_economy_dominant_activity_ext_agr	1.33832049369812	0.0309787569368996	0.00583478685172025
EA015_Community_marriage_organization_endogamous	1.11134004592896	0.0257247298529688	0.00484520136866342
EA072_Political_succession_absent	0.982944667339325	0.0227526994283592	0.00428542538798909
EA072_Political_succession_matrilineal	0.299587845802307	0.00693470592437367	0.00130613797805056
EA068_Caste_differentiation_primary	0.264532715082169	0.0061232677232223	0.00115330521730728
EA113_Societal_rigidity_T	0.197702646255493	0.0045763195385337	8.61940623605255e-4
EA113_Societal_rigidity_F	0.194848224520683	0.00451024684702635	8.49495964432839e-4
EA074_Inheritance_rule_for_real_property_land_matrilineal	0.181072622537613	0.00419137627192682	7.89437329969843e-4
EA012_Marital_residence_with_kin_prevailing_pattern_wife	0.139377474784851	0.00322623835932434	6.07655536271014e-4
EA072_Political_succession_other	0.132302433252335	0.00306246892368739	5.76809890923963e-4
EA012_Marital_residence_with_kin_prevailing_pattern_other	0.0542143769562244	0.001254926614455	2.36362915555664e-4
EA042_Subsistence_economy_dominant_activity_multiple	0	0	0
