variable	relative_importance	scaled_importance	percentage
EA070_Slavery_type	75.6009368896484	1	0.179282381144028
EA008_Domestic_organization	60.6919212341309	0.802793242135615	0.143926684016407
EA078_Norms_of_premarital_sexual_behavior_of_girls	48.4122314453125	0.640365495945875	0.114806250915653
EA066_Class_differentiation_primary	47.7829627990723	0.632041939755576	0.11331398394227
EA033_Jurisdictional_hierarchy_beyond_local_community	38.0759811401367	0.503644302658771	0.0902945498302881
EA030_Settlement_patterns	33.6115493774414	0.444591704286718	0.0797074593814045
EA034_Religion_high_gods	23.1440143585205	0.306133962232543	0.0548844256981064
EA023_Cousin_marriages_permitted	21.1206493377686	0.279370206332198	0.0500861558119349
EA074_Inheritance_rule_for_real_property_land_absent	19.8578300476074	0.262666454472556	0.0470914674044993
EA031_Mean_size_of_local_communities	17.1250667572021	0.226519239863375	0.0406109086976412
EA043_Descent_major_type_patrilineal	9.5634069442749	0.12649852419467	0.0226789566288259
EA032_Jurisdictional_hierarchy_of_local_community	5.04250240325928	0.066698940657569	0.0119579449008732
EA015_Community_marriage_organization_exogamous	3.67792129516602	0.0486491496862602	0.00872193539638498
EA074_Inheritance_rule_for_real_property_land_other	2.95483708381653	0.0390846622460457	0.00700719131368118
EA042_Subsistence_economy_dominant_activity_int_agr	2.43163442611694	0.0321640779355195	0.00576645247958204
EA012_Marital_residence_with_kin_prevailing_pattern_wife	2.40390276908875	0.0317972616212101	0.00570068877731017
EA043_Descent_major_type_other	1.90723550319672	0.0252276702070588	0.00452287678543776
EA054_Sex_differences_agriculture_both	1.69917321205139	0.0224755576049488	0.00402947148495499
EA054_Sex_differences_agriculture_other	1.31500017642975	0.0173939666693443	0.00311843176201991
EA054_Sex_differences_agriculture_mostly male	1.09967660903931	0.0145458066299424	0.00260780684827667
EA073_Political_succession_hereditary_succession_absent	0.834577262401581	0.0110392449715243	0.00197914212452713
EA068_Caste_differentiation_primary	0.589285910129547	0.0077946905736063	0.00139745068631705
EA053_Sex_differences_animal_husbandry_both	0.571299731731415	0.00755678110927802	0.00135479771105557
EA042_Subsistence_economy_dominant_activity_foraging	0.454870283603668	0.00601672812954188	0.00107869334576052
EA042_Subsistence_economy_dominant_activity_pastoralism	0.447408407926559	0.00591802729349271	0.00106099802485272
EA053_Sex_differences_animal_husbandry_other	0.397367358207703	0.00525611684928883	9.42329144311749e-4
EA072_Political_succession_matrilineal	0.313481599092484	0.00414653061178408	7.43399881567254e-4
EA074_Inheritance_rule_for_real_property_land_matrilineal	0.186586692929268	0.00246804736297939	4.42477408011184e-4
EA072_Political_succession_absent	0.179821729660034	0.00237856483078394	4.26434766568388e-4
EA015_Community_marriage_organization_endogamous	0.0854991748929024	0.00113092745156984	2.02755366418589e-4
EA073_Political_succession_hereditary_succession_other	0.0560843497514725	7.41847284688237e-4	1.33000147644139e-4
EA072_Political_succession_other	0.0516558103263378	6.83269446802461e-4	1.22498173385708e-4
EA113_Societal_rigidity_T	0	0	0
EA012_Marital_residence_with_kin_prevailing_pattern_other	0	0	0
EA042_Subsistence_economy_dominant_activity_multiple	0	0	0
EA043_Descent_major_type_matrilineal	0	0	0
EA053_Sex_differences_animal_husbandry_mostly female	0	0	0
EA073_Political_succession_hereditary_succession_matrilineal	0	0	0
